deploy_date,deploy_time,carcass_id,carcass_species,decomposition_level,carcass_length,latitude,longitude,retrieve_date,retrieve_time
1 Aug 25,16:27,CCAM55,CASL,2,1.8,37.11607,-122.33057,13 Aug 25,17:50
8 Aug 25,14:35,CCAM53,CASL,4,1.78,37.12741,-122.33685,15 Aug 25,10:43
13 Aug 25,17:21,CCAM54,CASL,3,1.65,37.11414,-122.3291,20 Aug 25,17:40
13 Aug 25,17:52,CCAM55,CASL,3,1.8,37.11607,-122.33057,20 Aug 25,17:52
15 Aug 25,10:46,CCAM53,CASL,4,1.78,37.12741,-122.33685,20 Aug 25,14:25
20 Aug 25,17:43,CCAM54,CASL,4,1.65,37.11414,-122.3291,29 Aug 25,17:24
20 Aug 25,17:58,CCAM55,CASL,3,1.8,37.11607,-122.33057,29 Aug 25,17:02
29 Aug 25,17:19,CCAM58,CASL,3,1.05,37.11507,-122.32985,5 Sep 25,17:22
29 Aug 25,17:45,CCAM59,CASL,2,1.35,37.11361,-122.32919,5 Sep 25,17:31
5 Sep 25,17:42,CCAM60,CASL,3,0.95,37.11625,-122.3308,10 Sep 25,17:42
5 Sep 25,17:37,CCAM59,CASL,2,1.35,37.11361,-122.32919,10 Sep 25,17:20
10 Sep 25,17:14,CCAM61,CASL,3,1.6,37.11454,-122.32948,3 Oct 25,17:35
